what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1485071307311
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1485071307311
java.specification.name,sysinfo,,,"Java Platform API Specification",1485071307311
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1485071307311
java.specification.version,sysinfo,,,"1.6",1485071307311
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1485071307311
java.version,sysinfo,,,"1.6.0_23",1485071307311
java.vm.info,sysinfo,,,"mixed mode",1485071307311
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1485071307311
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1485071307311
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1485071307311
java.vm.specification.version,sysinfo,,,"1.0",1485071307311
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1485071307311
java.vm.version,sysinfo,,,"19.0-b09",1485071307311
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1485071307334
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1485071307864
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1485071308364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485071308604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485071313114
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1485071317374
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1485071319924
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1485071319934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485071624172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485071680016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485071689628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485071691458
